filename,label,dataset_code,source_name,source_id,source_ref,original_width,original_height,saved_path,sha256,batch_id,original_filename,class_label,source_dataset,processed_path,processed_width,processed_height,original_format,original_mode,processed_mode
rl_coco_000001.png,rl,coco,MS_COCO_2017,138246,http://images.cocodataset.org/train2017/000000138246.jpg,640,424,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000001.png,ce0801f166d0b55c7ff3d12f97f24ed91050e19e43787bcedd838c75cfa10529,1,rl_coco_000001.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000001.png,256,256,PNG,RGB,L
rl_coco_000002.png,rl,coco,MS_COCO_2017,505099,http://images.cocodataset.org/train2017/000000505099.jpg,640,512,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000002.png,74daeae99b748ecdc84f865c4acedbd17a456456ef066826aca14c5a0f2db642,1,rl_coco_000002.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000002.png,256,256,PNG,RGB,L
rl_coco_000003.png,rl,coco,MS_COCO_2017,195829,http://images.cocodataset.org/train2017/000000195829.jpg,640,426,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000003.png,fb383ccedc5efe73db79b80ac0139a084c3ffd59894df70855188f537a3e9850,1,rl_coco_000003.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000003.png,256,256,PNG,RGB,L
rl_coco_000004.png,rl,coco,MS_COCO_2017,501762,http://images.cocodataset.org/train2017/000000501762.jpg,640,480,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000004.png,6a71b564da0535f50f8b3f5570301eff2f55fa1609b5db21bca04cbb00f68c95,1,rl_coco_000004.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000004.png,256,256,PNG,RGB,L
rl_coco_000005.png,rl,coco,MS_COCO_2017,386500,http://images.cocodataset.org/train2017/000000386500.jpg,640,426,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000005.png,48914f1903b96adb16e399cc82f481217516cc3864c7ec2f3260d7389258c45b,1,rl_coco_000005.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000005.png,256,256,PNG,RGB,L
rl_coco_000006.png,rl,coco,MS_COCO_2017,39743,http://images.cocodataset.org/train2017/000000039743.jpg,640,478,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000006.png,bbb85473d261411a848066cd98a5e68ecc6aa553cadc3dff552e46806d79d524,1,rl_coco_000006.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000006.png,256,256,PNG,RGB,L
rl_coco_000007.png,rl,coco,MS_COCO_2017,310103,http://images.cocodataset.org/train2017/000000310103.jpg,640,480,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000007.png,6f22eacd7c22b39d1e385f6cc6d33eb91b8d4cacca22c7736b5aa5a48fd5faf8,1,rl_coco_000007.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000007.png,256,256,PNG,RGB,L
rl_coco_000008.png,rl,coco,MS_COCO_2017,261757,http://images.cocodataset.org/train2017/000000261757.jpg,480,640,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000008.png,ebaf4b961d59ec8a44b6cc9e28b626ea1b073beda891eb9619f6656f0a75d466,1,rl_coco_000008.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000008.png,256,256,PNG,RGB,L
rl_coco_000009.png,rl,coco,MS_COCO_2017,156397,http://images.cocodataset.org/train2017/000000156397.jpg,640,424,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000009.png,74a34bc7dc0651792ed8bf11eea59764674d09d86c31ea044abf57cc7b75dd63,1,rl_coco_000009.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000009.png,256,256,PNG,RGB,L
rl_coco_000010.png,rl,coco,MS_COCO_2017,159537,http://images.cocodataset.org/train2017/000000159537.jpg,425,640,/content/drive/My Drive/DIP_Project/data/raw/MS_COCO_2017/images/rl_coco_000010.png,be3dfde2074cd72538f467844d20c6c4d1d184223949d2cf180ed060c2264ac8,1,rl_coco_000010.png,real,MS_COCO_2017,/content/drive/MyDrive/DIP_Project/data/preprocessed/MS_COCO_2017/images/rl_coco_000010.png,256,256,PNG,RGB,L
